url,sitemap,status,final_url,elapsed_ms,page_kb,title,title_len,meta_description,meta_description_len,h1,h1_count,h2_count,canonical,lang,robots_meta,og_title,og_description,og_image,twitter_card,jsonld_types,word_count_approx,imgs_total,imgs_no_alt,internal_links,external_links,ga4_ids,ua_ids,gtm_ids,fb_pixel_ids,hotjar_ids,gsc_verification,audit_severity,audit_notes
https://seatofthesoul.com/honoring-maya-angelou-2/,post,200,https://seatofthesoul.com/honoring-maya-angelou-2/,1437,91.5,Honoring Maya Angelou - The Seat of the Soul Institute,54,,0,Honoring Maya Angelou,1,5,https://seatofthesoul.com/honoring-maya-angelou-2/,en-US,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Honoring Maya Angelou - The Seat of the Soul Institute,"Before Linda and I flew to North Carolina to interview Dr. Maya Angelo, Oprah advised us in a way that told us she was speaking from experience, “Don’t call her Maya unless she gives you permission.” We followed her advice, which was easy to do. She was as gracious as she was grounded. Her smile […]",https://seatofthesoul.com/wp-content/uploads/2021/03/The-Compassion-Virus.jpg,summary_large_image,Article|BreadcrumbList|ImageObject|Organization|Person|WebPage|WebSite,746,4,2,35,3,G-PZH9QMWR4R,UA-200510356-1,,630056102333543,,,MEDIUM,missing meta description; 2/4 imgs missing alt
https://seatofthesoul.com/im-thankful-network-seattle/,post,200,https://seatofthesoul.com/im-thankful-network-seattle/,1013,94.0,I’m Thankful Network – Seattle - The Seat of the Soul Institute,63,,0,I’m Thankful Network – Seattle,1,6,https://seatofthesoul.com/im-thankful-network-seattle/,en-US,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",I’m Thankful Network – Seattle - The Seat of the Soul Institute,"Listen now – or, use this link to download the mp3 file so you can play it later  Gary Zukav on I’m Thankful Radio You are a powerful, creative, and compassionate spirit. What you create, you experience. Learn how to distinguish love from fear, and choose love! An enlightening one-hour interview with Sue Lundquist on Radio for Inspiration, […]",,summary_large_image,Article|BreadcrumbList|Organization|Person|WebPage|WebSite,256,3,1,36,3,G-PZH9QMWR4R,UA-200510356-1,,630056102333543,,,MEDIUM,missing meta description; 1/3 imgs missing alt
https://seatofthesoul.com/moments-with-marianne-internet/,post,200,https://seatofthesoul.com/moments-with-marianne-internet/,1606,93.9,Moments with Marianne - Internet - The Seat of the Soul Institute,65,,0,Moments with Marianne – Internet,1,6,https://seatofthesoul.com/moments-with-marianne-internet/,en-US,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Moments with Marianne - Internet - The Seat of the Soul Institute,"Listen now – Are you searching for authentic power? Authentic Power is the alignment of your personality with your soul and it is a new vision of power and hope in this time of extraordinary transformation. Universal Human gives us new tools to grow spiritually and shows us how to transform everyday experiences of hopelessness, […]",,summary_large_image,Article|BreadcrumbList|Organization|Person|WebPage|WebSite,271,3,1,35,3,G-PZH9QMWR4R,UA-200510356-1,,630056102333543,,,MEDIUM,missing meta description; 1/3 imgs missing alt
https://seatofthesoul.com/rhythm-flow-radio-dallas/,post,200,https://seatofthesoul.com/rhythm-flow-radio-dallas/,1031,94.0,Rhythm and Flow  Radio - Dallas - The Seat of the Soul Institute,64,,0,Rhythm and Flow Radio – Dallas,1,6,https://seatofthesoul.com/rhythm-flow-radio-dallas/,en-US,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Rhythm and Flow  Radio - Dallas - The Seat of the Soul Institute,"Listen now – or, use this link to download the mp3 file so you can play it later  Gary Zukav on that Celebrity Interview What are you learning in your relationships? Listen as Gary shares how to use all of your relationships as vehicles to change your life. An inspiring 20-minute interview with Valder Beebe on Rhythm […]",,summary_large_image,Article|BreadcrumbList|Organization|Person|WebPage|WebSite,255,3,1,36,3,G-PZH9QMWR4R,UA-200510356-1,,630056102333543,,,MEDIUM,missing meta description; 1/3 imgs missing alt
https://seatofthesoul.com/the-new-male-and-authentic-power-internet/,post,200,https://seatofthesoul.com/the-new-male-and-authentic-power-internet/,1033,94.5,The New Male and Authentic Power – Internet - The Seat of the Soul Institute,76,,0,The New Male and Authentic Power – Internet,1,6,https://seatofthesoul.com/the-new-male-and-authentic-power-internet/,en-US,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",The New Male and Authentic Power – Internet - The Seat of the Soul Institute,"Listen now – or, use this link to download the mp3 file so you can play it later Gary Zukav on the Ultimate Men’s SummitIn this amazing interview for THE ULTIMATE MEN’S SUMMIT, Gary gives both men and women an overview of the emerging New Male and New Female, what they are looking for, and […]",,summary_large_image,Article|BreadcrumbList|Organization|Person|WebPage|WebSite,315,3,1,36,3,G-PZH9QMWR4R,UA-200510356-1,,630056102333543,,,MEDIUM,title length 76 (target 25–65); missing meta description; 1/3 imgs missing alt
https://seatofthesoul.com/the-catherine-bradford-show-seattle/,post,200,https://seatofthesoul.com/the-catherine-bradford-show-seattle/,1004,94.1,The Catherine Bradford Show – Seattle - The Seat of the Soul Institute,70,,0,The Catherine Bradford Show – Seattle,1,6,https://seatofthesoul.com/the-catherine-bradford-show-seattle/,en-US,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",The Catherine Bradford Show – Seattle - The Seat of the Soul Institute,"Listen now – or, use this link to download the mp3 file so you can play it later  Gary Zukav on the Catherine Bradford ShowWith the transformation in consciousness comes a new form of relationship, a new definition of equality, and a new way of being. What will you do with your multisensory awareness? An […]",,summary_large_image,Article|BreadcrumbList|Organization|Person|WebPage|WebSite,263,3,1,36,3,G-PZH9QMWR4R,UA-200510356-1,,630056102333543,,,MEDIUM,title length 70 (target 25–65); missing meta description; 1/3 imgs missing alt
https://seatofthesoul.com/gary-zukav-and-linda-francis-share-their-insight/,post,200,https://seatofthesoul.com/gary-zukav-and-linda-francis-share-their-insight/,1280,125.7,Gary Zukav and Linda Francis Share Their Insight - The Seat of the Soul Institute,81,,0,Gary Zukav and Linda Francis Share Their Insight,1,7,https://seatofthesoul.com/gary-zukav-and-linda-francis-share-their-insight/,en-US,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Gary Zukav and Linda Francis Share Their Insight - The Seat of the Soul Institute,"An Interview With Bonnie Goldberg I had the great pleasure of speaking with Gary Zukav, author of The Seat of the Soul, and his spiritual partner Linda Francis. I am delighted to share with you their beautiful insight. B: I’ve heard you talk about authentic power. What do you mean by authentic power? GZ: Life with […]",https://seatofthesoul.com/wp-content/uploads/2021/05/garylinda.jpg,summary_large_image,Article|BreadcrumbList|ImageObject|Organization|Person|WebPage|WebSite,4112,4,2,34,3,G-PZH9QMWR4R,UA-200510356-1,,630056102333543,,,MEDIUM,title length 81 (target 25–65); missing meta description; 2/4 imgs missing alt
https://seatofthesoul.com/the-ongoing-conversation/,post,200,https://seatofthesoul.com/the-ongoing-conversation/,819,101.6,The Ongoing Conversation - The Seat of the Soul Institute,57,,0,The Ongoing Conversation,1,6,https://seatofthesoul.com/the-ongoing-conversation/,en-US,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",The Ongoing Conversation - The Seat of the Soul Institute,"https://youtu.be/YktHjvcDWI4 The Ongoing Conversation Since 1998, bestselling author Gary Zukav has joined Oprah Winfrey 34 times on her show. The result is an engaging, ongoing conversation between Gary and Oprah that has deeply inspired millions. I am delighted to announce my talk with Oprah Winfrey from the Super Soul Sessions in April, 2017, is now […]",https://seatofthesoul.com/wp-content/uploads/2021/05/oprah-1.jpg,summary_large_image,Article|BreadcrumbList|ImageObject|Organization|Person|WebPage|WebSite,619,3,1,34,25,G-PZH9QMWR4R,UA-200510356-1,,630056102333543,,,MEDIUM,missing meta description; 1/3 imgs missing alt
https://seatofthesoul.com/what-gives-you-meaning-in-your-life/,post,200,https://seatofthesoul.com/what-gives-you-meaning-in-your-life/,1126,91.1,What Gives You Meaning in Your Life? - The Seat of the Soul Institute,69,,0,What Gives You Meaning in Your Life?,1,5,https://seatofthesoul.com/what-gives-you-meaning-in-your-life/,en-US,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",What Gives You Meaning in Your Life? - The Seat of the Soul Institute,"Contributing to the new humanity gives me meaning beyond anything I could have possibly imagined. I write books, give events, and create programs to teach about creating authentic power—aligning the personality with the soul so that we can transform ourselves with our own wills instead of trying to change others. I am filled with meaning […]",https://seatofthesoul.com/wp-content/uploads/2021/04/What-Gives-You-Meaning-in-Your-Life.jpg,summary_large_image,Article|BreadcrumbList|ImageObject|Organization|Person|WebPage|WebSite,489,3,1,39,3,G-PZH9QMWR4R,UA-200510356-1,,630056102333543,,,MEDIUM,title length 69 (target 25–65); missing meta description; 1/3 imgs missing alt
https://seatofthesoul.com/explore-multisensory-perception-and-spiritual-partnership/,post,200,https://seatofthesoul.com/explore-multisensory-perception-and-spiritual-partnership/,955,111.5,Explore Multisensory Perception and Spiritual Partnership - The Seat of the Soul Institute,90,,0,Explore Multisensory Perception and Spiritual Partnership,1,7,https://seatofthesoul.com/explore-multisensory-perception-and-spiritual-partnership/,en-US,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Explore Multisensory Perception and Spiritual Partnership - The Seat of the Soul Institute,"With Gary Zukav Gary Zukav is the author of The Dancing Wu Li Masters: An Overview of the New Physics and The Seat of the Soul. He has been on The Oprah Winfrey Show numerous times, and as you will see, there is good reason so many people are grateful for his work. GZ: We are […]",https://seatofthesoul.com/wp-content/uploads/2021/05/Explore-Multisensory-Perception.png,summary_large_image,Article|BreadcrumbList|ImageObject|Organization|Person|WebPage|WebSite,2165,4,1,34,3,G-PZH9QMWR4R,UA-200510356-1,,630056102333543,,,MEDIUM,title length 90 (target 25–65); missing meta description; 1/4 imgs missing alt
